N,S0,A_analytic_S_at_N_over_Omega,A_peak_max,Ta_analytic_us,Ta_data_us,Omega_Ta_data
1,1.0000,1.0000,1.0000,0.796,0.000,0.000
2,1.0000,1.0440,1.4994,1.592,0.886,1.113
3,1.0000,1.0767,2.2784,2.387,1.123,1.411
4,1.0000,1.4490,2.7810,3.183,1.397,1.755
5,1.0000,1.7228,3.5211,3.979,1.653,2.077
6,1.0000,2.3327,4.0147,4.775,1.871,2.351
7,1.0000,2.8183,4.7164,5.570,2.139,2.688
8,1.0000,3.4514,5.2096,6.366,2.345,2.947
9,1.0000,4.1903,5.8915,7.162,2.582,3.245
10,1.0000,4.7089,6.3850,7.958,2.806,3.527
11,1.0000,5.3526,7.0524,8.754,3.018,3.793
12,1.0000,5.7410,7.5481,9.549,3.293,4.138
13,1.0000,6.2022,8.2072,10.345,3.486,4.381
14,1.0000,6.4498,8.7029,11.141,3.754,4.718
